brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,X,Y
27529,0495m665,24049,PSF,49.69268383253948,-66.51032974463875,0.10681139,4.5008087,4.568224,4.2949147,4.3924217,1.3686988,1.2753905,1.1517173,1.2757738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.866774,20.850632,20.917614,20.89324,22.074543,,16.9394,12.772637,0.016141891,-0.06698227,-0.04260826,0.024374008,226.8972640783635,748.0784072424223
27529,0495m665,19722,PSF,49.61735726040646,-66.46890579932867,0.11075548,3.2343688,4.0880814,4.2956,5.0270457,1.4468659,1.3410187,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.225527,20.9712,20.91744,20.746717,20.741789,20.81503,,,0.25432587,0.05376053,0.22448349,0.17072296,638.5119489050605,1318.1827846627582
27529,0495m665,7369,PSF,49.40498476334051,-66.50877816460934,0.10662548,1.6975242,2.9823859,4.29624,5.719755,1.3948946,1.2694558,1.2047577,1.2732652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.92546,21.313591,20.917278,20.606556,21.061644,21.795023,,14.229016,0.6118698,0.3963127,0.70703506,0.31072235,1802.5821142682453,770.2371275442277
27529,0495m665,12765,PSF,49.49224908616817,-66.51540168759608,0.10708672,2.253673,3.3414466,4.305495,5.6856203,1.4029106,1.2562152,1.1492771,1.3311627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.617773,21.190165,20.914942,20.613056,21.119894,22.224129,18.491629,13.484336,0.4276085,0.27522278,0.5771084,0.3018856,1324.5960521984653,679.7390044910051
27529,0495m665,18886,PSF,49.60215976371973,-66.50209692073723,0.10837615,3.2536232,4.1127744,4.3126063,4.6819634,1.41232,1.2842402,1.1964581,1.2709345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.219082,20.964663,20.91315,20.82393,19.298103,19.909626,17.518835,,0.25441933,0.051511765,0.14073181,0.08922005,722.5149981472671,862.2475610482113
27529,0495m665,22235,PSF,49.66018395309011,-66.47747719175007,0.11037955,3.025077,3.5664575,4.314605,5.7257414,1.4253722,1.3198797,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.298159,21.119408,20.912647,20.605421,21.28699,,,,0.17875099,0.2067604,0.5139866,0.30722618,403.8447745491177,1199.9449303229842
27529,0495m665,14572,PSF,49.52270062777774,-66.46894405815605,0.11120342,0.4893145,2.0251908,4.3159,6.4880123,1.4468659,1.3410187,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.27603,21.733835,20.912321,20.46972,19.658138,19.886333,19.269947,,1.5421944,0.8215141,1.2641144,0.44260025,1157.7823617220029,1318.1097256176072
27529,0495m665,21894,PSF,49.65439157969411,-66.4920108410056,0.1091831,9.277587,8.936802,4.3160315,4.433783,1.445672,1.3491709,1.1748722,1.2401316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.081413,20.122046,20.912289,20.883064,17.581654,17.81616,15.214811,12.432465,-0.040632248,-0.79024315,-0.76101875,0.029224396,436.0535653002563,1000.3183638605562
27529,0495m665,14532,PSF,49.52187340245001,-66.50567871668459,0.10863522,-0.336758,1.1014091,4.3196874,7.520924,1.41232,1.243095,1.1964581,1.2818524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.395128,20.91137,20.309322,17.489864,17.889507,14.79693,12.496031,,1.4837589,2.085806,0.60204697,1162.3714137746458,813.359139211755
27529,0495m665,18949,PSF,49.6034296801397,-66.47071572171146,0.1106362,4.779435,5.4620996,4.3309774,5.1601505,1.4468659,1.3410187,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.80156,20.6566,20.908535,20.718344,18.13394,18.553173,15.883528,,0.1449585,-0.25193405,-0.061742783,0.19019127,714.9512557713865,1293.429585119951
